from;to
04758;HO Grafische vormgeving (tweede fase-opleiding)
04759;HO Vormgeving (tweede fase-opleiding)
04760;HO Interieurarchitectuur (tweede fase-opleiding)
04761;HO Aantekening begeleiden
04763;HO Aantekening kamermuziek
04764;HO Compositie of compositie/electronische muziek
04770;HO Uitvoerend musicus
04789;HO Opleiding voor het praktijkdiploma orkest- en ensembleleiding
04790;HO Praktijkdiploma
04793;HO Opleiding voor het praktijkdiploma koordirectie
04794;HO Opleiding voor het praktijkdiploma directie harmonie en fanfare
04795;HO Opleiding voor het praktijkdiploma beiaard
04797;HO Keramische vormgeving
04798;HO Uitvoerende beoefening van de dans
